구분,발송일자,메세지 발송명,발송 대상 인원수,발송 조건,메세지 발송 내역(최종전문),메세지 발송 의뢰주체,메세지 발송자,메세지 시스템,종류,CTR,발송차수 (DATA),수주금액(M+1),수주금액(M+3)
11,2025.07.03,후기 이벤트 참여 독려,"3,056","사업부 : 일룸
수주일자 : 2024.07.01~2025.6.30
판매 채널 : 일룸 오프라인 매장, 공식몰

마케팅동의 : Y
시리즈 : 밴쿠버/아르지안/어바니/바젤/캐빈/두들/키니/플로코/오브/아떼/닛/업모션/블릭/토스카노
발송대상자 수 : 
[모션베드]
아르지안 329명
어바니 208명
바젤 218명
[키즈]
캐빈 126명
두들 198명
납기일자 : 2024.07.01~2025.6.30
업모션 976명
블릭 856명
토스카노 145명 (대상자 약","(광고)(일룸)간단한 후기 1건이면 4만원 혜택 100% 증정!
$1님, 업모션 테이블 잘 사용하고 계신가요?
업모션에 대한 간단한 후기를 남겨주세요!
작성만 해도 최대 4만원 혜택을 100% 드려요!
 
지금 후기 작성하고 100% 혜택 받아가세요♥
 
▼이벤트 자세히 보러가기▼
https://url.kr/r1du8l
 
▼후기 접수하러 가기▼
https://url.kr/f3wuvo
 
☎ 일룸 고객센터 : 1577-5670
무료거부 080-877-6013",황아영/마케팅팀,황아영/마케팅팀,ERP,문자,3.7%,,,
11,2025.07.25,헤이븐 감사제 홍보,"2,507","사업부 : 일룸
정품인증일자 : 2024.07.01~2025.7.25
판매 채널 : 일룸 오프라인 매장, 공식몰

마케팅동의 : 전체
정품 인증 : Y
시리즈 : 헤이븐
발송대상자 수 : 2,507","(광고)(일룸)헤이븐클럽 단독 시크릿 할인 혜택
 
감각적인 조명부터 쿨링패드까지!

지금 <헤이븐 1주년 감사제>에서
헤이븐클럽 전용 시크릿 혜택을 만나보세요.
 
▶혜택기간 : ~2025.08.31
▶혜택 바로가기 : https://buly.kr/A45qsWr
 
<헤이븐 1주년 감사제 혜택>
① 브랜드 협업 감성 조명 최대 20% 할인
 
② 헤이븐 전용 쿨링패드 15% 할인
 
③ 무제한 지인 추천 5만원 혜택
 
④ 간단 리뷰만 남겨도 최대 9만원 혜택
 
★기간 한정!★

헤이븐클럽 고객님만 누릴 수 있는
시크릿 혜택을 놓치지 마세요!
 
무료수신거부 080-877-6013",황아영/마케팅팀,황아영/마케팅팀,ERP,문자,,,,
12,2025.07.31,일룸이 이룸 프로모션 홍보,348,"사업부 : 일룸
1) 발송 대상 : 7월 프로모션 대상 제품 견적 고객
*소파/침실/LDK
2) 대상 고수 : 348명 
*중복 고객 제외 (통합회원 O / 마케팅 동의 O)","(광고)(일룸)이 혜택, 이 가격 마지막!

#{이름}님이 관심가져 주신 '일룸이 이룸' 
최대 50% 프로모션 혜택이 곧 종료돼요!

이번주까지만 적용 가능한
이 가격, 이 혜택!
놓치지말고 받아보세요!
※ 혜택 기간 : ~8/3

▼혜택 보러가기▼
https://solap.io/uD2P
",황아영/마케팅팀,황아영/마케팅팀,솔라피,문자,54.0%,,,
13,2025.08.01,헤이븐 감사제 홍보,242,"사업부 : 일룸
정품인증일자 : 2024.07.01~2025.7.31
판매 채널 : 일룸 오프라인 매장, 공식몰

마케팅동의 : 전체
정품 인증 : Y
시리즈 : 헤이븐
발송대상자 수 : 2,507","(광고)(일룸)클럽 단독 할인 혜택 

★헤이븐 여름 필수템 ★ 
기능성 쿨링 패드 단독 할인! 

★유명 브랜드 협업 조명★
최저가 할인 도전!   
 
▶혜택기간 : ~2025.08.31  
▶혜택 바로가기 :  
① 쿨링패드 15% 할인 :  
https://vo.la/FyUknZx
② 베스트버그 조명 20%할인 :  
https://vo.la/cYWhqWF
③ AGO플립 조명 10%할인 : 
https://vo.la/LeVpErq 

그외 무제한 지인추천과  
초간단 리뷰 혜택으로  
 
★네이버포인트★를 받아가세요! 

혜택 모아보기:  https://vo.la/CfZFIOw
헤이븐클럽 고객님만 누릴 수 있는 
시크릿 혜택을 놓치지 마세요!   
 
무료수신거부 080-877-6013",황아영/마케팅팀,황아영/마케팅팀,ERP,문자,,,,
14,2025.08.01,일룸 키즈 이벤트 홍보,348,"사업부 : 일룸
아코/땅콩책상/에디키즈/쿠시노/팅클팝/티에드/두들
1) 발송 대상 : 25년 1월~7월 키즈 제품 구매 고객
2) 대상 고객수 : 4,838명","(광고)(일룸)여름방학 기념, 메이필드호텔 숙박권 증정 이벤트★
 
신나는 여름방학,
일룸과 함께하는 아이들의 일상을 공유해 주세요!
 
사진 한 장이면 참여 완료!
추첨을 통해 푸짐한 선물을 드려요♥
 
<이벤트 경품>
- 일룸x메이필드 협업 객실 숙박권 (1명)
- 하우키즈풀 메쉬백 (5명)
- 이디야 생과일 수박주스 (10명)
 
▼이벤트 자세히 보러가기▼
https://vo.la/MWzcgFM
※ 참여 기간 : ~8/5(화)

무료수신거부 080-877-6013",황아영/마케팅팀,황아영/마케팅팀,ERP,문자,,,,
15,2025.08.08,일룸 소가구 CRM(잠재고객),"16,440","사업부 : 일룸

1) 발송 대상 : 25년 01월~06월 통합회원 O & 마케팅 수신/활용 동의(문자) O' 인 고객 중 수주 내역이 없는 고객
2) 대상 고객수 : 16,440명","(광고)(일룸)일룸이 처음이라면?
 
일룸이 처음이라면
실용적인 가구로 시작해보세요!
 
수납장부터 테이블까지,
일상에 꼭 필요한 아이템만 모았습니다!
 
▼지금 둘러보기▼
https://solap.io/TNV90",황아영/마케팅팀,황아영/마케팅팀,솔라피,문자,41.9%,,,
16,2025.10.02,기빙위크_쿠시노(견적고객),835,"사업부 : 일룸

1) 발송 대상 : 25년 8월 1일~10월 01일 쿠시노 견적 고객 중  통합회원 O & 마케팅 수신/활용 동의(문자) O' 인 고객 중 수주 내역이 없는 고객
2) 대상 고객수 : 849명","(광고)(일룸)쿠시노 올해 마지막 최대 혜택!

#{이름}님이 관심가져 주신 쿠시노
최대 20만원 혜택이 곧 종료돼요!

오직 10/12일까지만 진행되는
25년 마지막 쿠시노 혜택을
놓치지말고 받아보세요!

♥프로모션 기간 : ~10/12♥

▼혜택 보러가기▼
https://vo.la/3ipIV0

무료수신거부 080-500-4233",황아영/마케팅팀,김선우/온CX,솔라피,문자,14.0%,12차,"133,296,663",
17,2025.10.03,기빙위크_모션베드(견적),151,"사업부 : 일룸

1) 발송 대상 : 25년 8월 1일~10월 01일 모션베드 견적 고객 중  통합회원 O & 마케팅 수신/활용 동의(문자) O' 인 고객 중 수주 내역이 없는 고객
2) 대상 고객수 : 151명","(광고)(일룸)모션베드 추석 특가!

#{이름}님이 관심가져 주신 
[모션베드]의
20만원 혜택 프로모션이 
곧 종료돼요!

2025년 마지막,
[모션베드 최대 혜택]

사랑하는 사람에게 
휴식을 선물하세요.

※ 혜택 기간 : ~10/12

▼혜택 보러가기▼
https://vo.la/y9FwJ8


무료수신거부 080-500-4233",김선우/온CX,김선우/온CX,솔라피,문자,27.2%,13차,"12,301,359",
18,2025.10.08,폴인일룸_매트리스(견적),804,"사업부 : 일룸

1) 발송 대상 : 25년 8월 1일~10월 01일 헤이븐 견적 고객 중  통합회원 O & 마케팅 수신/활용 동의(문자) O' 인 고객 중 수주 내역이 없는 고객
2) 대상 고객수 : 804명","(광고)(일룸)2025 매트리스 최대 혜택

#{이름}님이 관심가져 주신 
[헤이븐 매트리스]의
혜택이 곧 [종료]됩니다!

▶ 침대 프레임 50% 반값
▶ 매트리스 구매시 15만원 혜택
▶ 무상 AS 5년
▶ 무상 케어서비스

이 모든 혜택이 곧 종료됩니다.

일룸의 베스트셀러 매트리스를
가장 합리적으로 만나보세요!

▼혜택 보러가기▼
https://vo.la/eSVgrk

※ 혜택 기간 : ~11/02

[일룸 매트리스인 이유]
1. 커버 분리, 세탁 가능한 매트리스 커버
2. 국내 제작, 일룸이 직접만든 매트리스
3. 기술력 이상의 합리적인 가격

무료수신거부 080-500-4233",김선우/온CX,김선우/온CX,솔라피,문자,10.8%,14차,"56,370,003",
19,2025.10.09,폴인일룸_소파(견적),207,"사업부 : 일룸

1) 발송 대상 : 25년 8월 1일~10월 01일 소파5종 견적 고객 중  통합회원 O & 마케팅 수신/활용 동의(문자) O' 인 고객 중 수주 내역이 없는 고객
2) 대상 고객수 : 207명","(광고)(일룸) 일룸 소파 마지막 혜택!

#{이름}님을 위한 특별한 견적서가 아직 기다리고 있어요! 

매장에서 경험하신 [일룸 소파]의
프로모션이 곧 종료됩니다.  

최대 30만원 혜택과 함께
미니멀한 일룸 라이프를 만들어보세요.

▶ 프로모션 혜택 보러가기
https://vo.la/rPHfP6

※ 혜택 기간 : ~10/12

무료수신거부 080-500-4233",김선우/온CX,김선우/온CX,솔라피,문자,28.5%,15차,"8,271,360",
20,2025.10.14,수원광교 수원맘카페,"1,114","사업부 : 일룸

1) 발송 대상 : 1년이내 수원광교 수주고객 전원
 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","(광고)(일룸) 인비테이션데이 초청★
시크릿 추가 포인트 증정

안녕하세요, 일룸 프리미엄샵 수원광교점입니다.

10월 25일(금) 인비테이션 데이에 고객님을 초대합니다.

일룸의 제품을 간단하게 소개받고, 
특별한 추가 혜택을 받아보세요!

▶EVENT 1
행사 후기 작성 시 신세계 상품권 3만원 증정

▶ EVENT 2
행사 후 구매 고객 7만원 추가 증정

◆ 일룸 프리미엄샵 수원광교점
경기도 용인시 기흥구 흥덕1로 5-13
◆ 031-213-2332
◆ 행사 안내 : https://vo.la/SbCDms

무료수신거부 080-877-6013",박경란/수원광교,김선우/온CX,ERP,문자,16.0%,,,
21,2025.10.14,대전도안 이전관련,"1,788","사업부 : 일룸

1) 발송 대상 : 최근 5년 내 대전도안 구매고객 전원
 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","(광고)(일룸)매장 전시품 최대 50% 선착순 혜택 안내★

안녕하세요. 일룸입니다.
일룸 대전도안점이 [11월 1일]
[NC 대전유성점]으로 이전 오픈합니다!

이전 기념
다양한 품목의 전시품을 
★최대 50%★ 선착순 특별 할인중이니 
많은 관심 부탁드립니다!

자세한 내용은 매장으로 문의주세요!
 
▶매장명 : 일룸 대전도안점
▶위치 : 대전 서구 도안동로 9 리더스프라자 비동 3층
▶전화번호 : 042-542-1625
▶해당 품목 바로가기 : https://vo.la/rLwlbI

무료수신거부 080-877-6013",김지수/리테일사업팀,김선우/온CX,ERP,문자,19.2%,,,
22,2025.10.16,헤이븐매트리스 프로모션,"5,366","사업부 : 일룸

1) 발송 대상 : 22년~23년 스탠다드, 셀렉트 구매 고객


 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","(광고)(일룸)2025 매트리스 최대 혜택

일룸이 만들어 믿을 수 있는
'헤이븐' 매트리스의 프로모션이 곧 종료됩니다!

▶ 침대 프레임 50% 반값
▶ 매트리스 구매시 15만원 혜택
▶ 무상 AS 5년
▶ 무상 케어서비스

일룸의 베스트셀러 매트리스를
가장 합리적으로 만나보세요!

▼혜택 보러가기▼
https://vo.la/9TXSZd

※ 혜택 기간 : ~11/02

[일룸 매트리스인 이유]
1. 커버 분리, 세탁 가능한 매트리스 커버
2. 국내 제작, 일룸이 직접만든 매트리스
3. 기술력 이상의 합리적인 가격
4. 무료 클럽 가입으로 각종 혜택

무료수신거부 080-877-6013",김선우/온CX,김선우/온CX,ERP,문자,13.4%,,,
23,미진행,"소파 프로모션( AB TEST)

혜택형

공식몰","5,441","사업부 : 일룸

1) 발송 대상 : 일룸 링키플러스 구매 고객(21'상반기)


 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","(광고)(일룸) ~최대 34만원 혜택

2025년 일룸 소파 마지막 혜택!

★최대 34만원★ 혜택과 함께

미니멀한 일룸 라이프를 만들어보세요.

◆2025년 일룸 베스트셀러 소파 5종
혜택 보러가기◆
▶ https://vo.la/tmHtL9

그외에도 침대, 매트리스, 식탁 프로모션을 만나보세요!

※ 혜택 기간 : ~11/12

무료수신거부 080-877-6013",김선우/온CX,김선우/온CX,ERP,문자,,,,
24,미진행,"소파 프로모션( AB TEST)

제품강조

코드앤버터

","3,689","사업부 : 일룸

1) 발송 대상 : 일룸 링키플러스 구매 고객(21'하반기)


 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","(광고)(일룸) 고객님을 위한 소파 혜택
일룸 소파의 편안함을 직접 경험해보세요.

2025년 일룸 소파 신제품이 포함된
일룸 베스트셀러 소파 5종을 

★최대 34만원★ 혜택으로 만나보세요.

일룸과 함께,
미니멀한 실루엣의 거실 인테리어를 완성하세요.

[혜택 바로가기]
https://vo.la/cNK6Rz

※ 혜택 기간 : ~11/12

그외에도 침대, 매트리스, 식탁 프로모션을 만나보세요!

무료수신거부 080-877-6013",김선우/온CX,김선우/온CX,ERP,문자,,,,
25,2025.10.30,롯데의왕 팝업 오픈,"1,048","사업부 : 일룸

1) 발송 대상 : 의왕시, 군포시 전체
(23~25.6)



 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","(광고)(일룸) 일룸 롯데의왕점 팝업 오픈 안내★

안녕하세요. 일룸입니다.

롯데프리미엄아울렛 의왕점에 
11월 1일 새롭게 매장을 오픈을 합니다.

학생방, 침실, 키즈 제품 등
일룸의 다양한 인기 시리즈를 
직접 둘러보실 수 있습니다.

★ 침대 50% 혜택
: https://vo.la/abl03Z

★ 구매금액대 혜택
: https://vo.la/8oIPEk

25년 일룸 침실 최대 혜택과 
다양한 혜택이 있는
일룸 롯데의왕점을 만나보세요.

★일룸 롯데의왕점★
오픈 : 2025년 11월 1일(토)
위치: 롯데프리미엄아울렛 의왕점 GLASS VILLE 1층 
문의: 010-3016-7571

무료수신거부 080-877-6013",채선경/리테일상업팀,김선우/온CX,ERP,문자,20.1%,,,
26,2025.11.03,공부방람회 사전이벤트,"49,407","사업부 : 일룸

1) 발송 대상 : 
- 21년~25년 10월까지 쿠시노 구매고객
- 21년~25년 10월 에디키즈 구매고객



 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","(광고)(일룸)학생책상 최대 페스타★
간단하게 클릭하고, 혜택받으세요!

일룸 학생책상 최대 이벤트인  
[공부방람회 페스타]가 
[2025.11.14] 시작됩니다.

곧 시작될 학생방 최대 혜택과 함께, 
사전 이벤트에 참여하세요!

[사전 이벤트]
기간 : 11.03~11.13
★사전 혜택★
① 26년 신제품 모션데스크 사전예약 혜택! 
② 각종 구매혜택 알림 먼저 받기!

▼사전이벤트 바로가기▼
https://vo.la/yNUpEw

[공부방람회 페스타]에서 
책상 구매 혜택과 
래플, 퀴즈 이벤트 등 
다양한 혜택을 만나보세요.

무료수신거부 080-877-6013",김선우/온CX,김선우/온CX,솔라피,문자,8.8%,,,
26,2025.11.04,공부방람회 사전이벤트,"12,991","사업부 : 일룸

1) 발송 대상 : 
- 21년~21년 링키 구매고객


 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","(광고)(일룸)학생책상 최대 페스타★
#{수취인}고객님

[학생방 no1. 브랜드 일룸]

간단하게 클릭하고, 혜택 받으세요!

▼사전이벤트 바로가기▼
https://vo.la/QR1GL2

곧 시작될 학생방 최대 혜택과 함께, 
사전 이벤트에 참여하세요!

[사전 이벤트]
기간 : 11.03~11.13
★사전 혜택★
① 26년 신제품 모션데스크 사전예약 혜택! 
② 각종 구매혜택 알림 먼저 받기!

무료수신거부 080-877-6013",김선우/온CX,김선우/온CX,솔라피,문자,10.5%,,,
27,2025.11.05,학생방 기구매자 후기 이벤트,"12,991","사업부 : 일룸

1) 발송 대상 : 
- 25년 로이/뉴트/링플/멘디 구매고객


 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","(광고)(일룸) #{이름}님께 드리는 100% 혜택♥

#{이름}님, 일룸 책상 잘 사용하고 계신가요?
일룸 책상과 함께한 공간을 자랑하면
네이버페이 1만원 혜택을 100% 드려요!

사진 2장 + 짧은 후기 한 줄이면 OK!
참여기간 : ~11월 23일

▼이벤트 참여하러 가기▼
https://vo.la/xe6mSju

☎ 일룸 고객센터 : 1577-5670
무료수신거부 080-500-4233",황아영/마케팅팀,김선우/온CX,솔라피,문자,9.3%,,,
28,2025.11.05,PET 리뷰 이벤트,"1,000","사업부 : 일룸

1) 발송 대상 : 
- 24~25년 캐스터네츠 시리즈 구매 고객


 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","(광고)(일룸) 참여만 해도 100% 선물 증정!

귀여운 반려동물을 자랑해주실 
멍집사, 냥집사를 찾습니다!

지금 일룸과 함께한 위드펫 일상을 
공유해주신 분들께 선물을 드려요♡

참여기간: 11/3(월)~11/16(일)

▼이벤트 자세히 보러가기▼
https://vo.la/e3PsAv5

☎ 일룸 고객센터 : 1577-5670
무료수신거부 080-877-6013",황아영/마케팅팀,김선우/온CX,ERP,문자,17.7%,,,
29,2025.11.05,쿠시노 신제품 출시,"1,510","사업부 : 일룸

1) 발송 대상 : 쿠시노 견적 후, 미구매고객
25년 9~10월

 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","
(광고)(일룸)★쿠시노 신규 컬러 출시★ 

고객님이 관심가져주신 쿠시노 신규 컬러가 출시되었어요! 
아이보리 원톤의 고급스러운 소재로 
새로워진 쿠시노를 지금 만나보세요! 

▼쿠시노 신제품 자세히 보기▼
 https://vo.la/lS1NhNK

☎ 일룸 고객센터 : 1577-5670 
무료수신거부 080-500-4233",황아영/마케팅팀,김선우/온CX,솔라피,문자,23.0%,,,
30,2025.11.07,쿠시노 리뷰 이벤트,"13,417","사업부 : 일룸

1) 발송 대상 : 
- 24년~25년 쿠시노 구매고객


 통합회원 O & 마케팅 수신/활용 동의(문자) O'

","(광고)(일룸) 간단한 후기 1건이면 네이버페이 1만원 100% 증정

#{이름}님, 쿠시노와 편안한 일상 보내고 계신가요?
지금 쿠시노에 대한 짧은 후기를 남겨주세요!

작성만 해도 네이버페이 1만원 혜택을 드립니다♡
우수 후기 선정 시, 일룸 30만원 이용권 증정까지!

★참여기간 : ~11월 23일(토)

▼이벤트 자세히 보러가기▼
https://vo.la/WNMwHTF

☎ 일룸 고객센터 : 1577-5670
무료수신거부 080-500-4233",황아영/마케팅팀,김선우/온CX,솔라피,문자,10.5%,,,
